"subject","media","auc","missingDay"
"R_3PvGtkjxcERTrmR","instagram",2868.937879703,1
"R_3PvGtkjxcERTrmR","netflix",338.40164095456,30
"R_3RaRGt8CejQorRz","facebook",2530.31958955947,90
"R_3RaRGt8CejQorRz","instagram",8341.59491208441,14
"R_3RaRGt8CejQorRz","netflix",5308.20015097506,3
"R_3WeJnfH9cgCEN45","facebook",2241.18696681197,90
"R_3WeJnfH9cgCEN45","instagram",15485.2378435441,30
"R_3WeJnfH9cgCEN45","netflix",8372.72803585782,30
"R_3dE5OXg3H8Tdx67","facebook",1248.11623377357,90
"R_3dE5OXg3H8Tdx67","instagram",2797.64520924052,7
"R_3dE5OXg3H8Tdx67","netflix",8308.3195400877,30
"R_3dSzSBOatWbsxRd","facebook",8453.08578233276,14
"R_3dSzSBOatWbsxRd","instagram",1976.24956755171,14
"R_3dSzSBOatWbsxRd","netflix",7831.41673303652,30
"R_3e3x4NhWYmXMm77","facebook",2896.25349566179,90
"R_3e3x4NhWYmXMm77","instagram",7498.50963440851,7
"R_3e3x4NhWYmXMm77","netflix",860.744663134965,7
"R_3fAXIfCVjBjpM6b","facebook",4498.94824932784,3
"R_3fAXIfCVjBjpM6b","instagram",6019.699153811,14
"R_3fAXIfCVjBjpM6b","netflix",2873.48285095019,90
"R_3fZxqdNiMOLr68l","facebook",7530.63330066663,1
"R_3fZxqdNiMOLr68l","instagram",8899.60989510881,7
"R_3fZxqdNiMOLr68l","netflix",8845.29665195926,14
"R_3gMVIXPA12YMBCC","facebook",5919.18106781812,1
"R_3gMVIXPA12YMBCC","instagram",-1582.92360576349,3
"R_3gMVIXPA12YMBCC","netflix",21.0532349267344,90
"R_3gZ6LgFWsf1y3K0","facebook",4905.75217412151,14
"R_3gZ6LgFWsf1y3K0","instagram",1161.63881648844,3
"R_3gZ6LgFWsf1y3K0","netflix",2825.31455799027,1
"R_3hnFcMvsMrK5Vs9","facebook",179.343807201521,1
"R_3hnFcMvsMrK5Vs9","instagram",-1133.75345330456,3
"R_3hnFcMvsMrK5Vs9","netflix",-4645.50347360816,30
"R_3iPwu3ulAk23B1a","facebook",-728.441487956499,3
"R_3iPwu3ulAk23B1a","instagram",1332.98742182008,90
"R_3iPwu3ulAk23B1a","netflix",1545.98018004648,7
"R_3luDggUoTQ3V65E","facebook",2898.00211728566,90
"R_3luDggUoTQ3V65E","instagram",943.127091717296,90
"R_3luDggUoTQ3V65E","netflix",-1905.56881488401,7
"R_3nCz55Kg6DTvOGq","instagram",350.702800394535,90
"R_3nCz55Kg6DTvOGq","netflix",-493.699489411217,14
"R_3nGjyukjwCXvVqQ","facebook",2153.73130706601,3
"R_3nGjyukjwCXvVqQ","instagram",-2631.44333808582,1
"R_3nGjyukjwCXvVqQ","netflix",-7466.37812237525,30
"R_3nUfrgSJc8yWxNC","facebook",-1455.74292167524,1
"R_3pfJTHOwZQbsj6F","facebook",8172.45540997419,3
"R_3pfJTHOwZQbsj6F","instagram",5298.31108762689,3
"R_3pfJTHOwZQbsj6F","netflix",1420.28011503524,14
"R_3qgTTJwDUCSEJgS","facebook",2456.60915325758,3
"R_3qgTTJwDUCSEJgS","instagram",7913.07651657846,7
